dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
512,4,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.7168999998830259
512,4,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),2.8479166998295113
512,4,silu,bfloat16,False,MLP,mps,Forward Time (ms),2.6473709003767
512,4,silu,bfloat16,False,MLP,mps,Backward Time (ms),4.98579580016667
512,4,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),2.563791700231377
512,4,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),4.441870798473246
512,8,relu,float32,False,MLP,mps,Forward Time (ms),2.853362499445211
512,8,relu,float32,False,MLP,mps,Backward Time (ms),5.729425000026822
512,8,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),2.995770800043829
512,8,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),5.936562499846332
512,8,relu,float16,False,MLP,mps,Forward Time (ms),3.252883300592657
512,8,relu,float16,False,MLP,mps,Backward Time (ms),6.197245798830409
512,8,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),3.000462500494905
512,8,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),5.896324999048375
512,8,relu,bfloat16,False,MLP,mps,Forward Time (ms),5.284920799022075
512,8,relu,bfloat16,False,MLP,mps,Backward Time (ms),10.397016700881068
512,8,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),5.0355625004158355
512,8,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),9.451454099325929
512,8,relu2,float32,False,MLP,mps,Forward Time (ms),3.9380832997267134
512,8,relu2,float32,False,MLP,mps,Backward Time (ms),7.226912600162905
512,8,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),3.196583299722988
512,8,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),6.035725101537537
512,8,relu2,float16,False,MLP,mps,Forward Time (ms),4.191804199945182
512,8,relu2,float16,False,MLP,mps,Backward Time (ms),6.927258300129324
512,8,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),3.057120800076518
512,8,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),5.564399999275338
512,8,relu2,bfloat16,False,MLP,mps,Forward Time (ms),6.172495799546596
512,8,relu2,bfloat16,False,MLP,mps,Backward Time (ms),11.25165840057889
512,8,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),5.053816699364688
512,8,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),9.183287501218729
512,8,silu,float32,False,MLP,mps,Forward Time (ms),2.9384249995928258
512,8,silu,float32,False,MLP,mps,Backward Time (ms),5.960025000968017
512,8,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),3.001004100951832
512,8,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),5.973541799176019
512,8,silu,float16,False,MLP,mps,Forward Time (ms),3.5334041007445194
512,8,silu,float16,False,MLP,mps,Backward Time (ms),6.035425099253189
512,8,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),3.046458400785923
512,8,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),5.777729098917916
512,8,silu,bfloat16,False,MLP,mps,Forward Time (ms),5.642162499134429
512,8,silu,bfloat16,False,MLP,mps,Backward Time (ms),10.55541250098031
512,8,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),5.103787500411272
512,8,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),8.994162498856895
1024,2,relu,float32,False,MLP,mps,Forward Time (ms),2.603945799637586
1024,2,relu,float32,False,MLP,mps,Backward Time (ms),5.69174170086626
1024,2,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),2.623587500420399
1024,2,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),5.602929199812934
1024,2,relu,float16,False,MLP,mps,Forward Time (ms),2.97249169962015
1024,2,relu,float16,False,MLP,mps,Backward Time (ms),5.9151499008294195
1024,2,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),2.716487500583753
1024,2,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),5.371737499081064
1024,2,relu,bfloat16,False,MLP,mps,Forward Time (ms),5.359883299388457
1024,2,relu,bfloat16,False,MLP,mps,Backward Time (ms),10.96599170123227
1024,2,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),5.201533299987204
1024,2,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),9.015324999927543
1024,2,relu2,float32,False,MLP,mps,Forward Time (ms),3.5138207997079007
1024,2,relu2,float32,False,MLP,mps,Backward Time (ms),6.545833400741685
1024,2,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),2.7489041996886954
1024,2,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),5.8302707999246195
1024,2,relu2,float16,False,MLP,mps,Forward Time (ms),3.6833041012869217
1024,2,relu2,float16,False,MLP,mps,Backward Time (ms),6.39744589861948
1024,2,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),2.8162375005194917
1024,2,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),5.420929098909255
1024,2,relu2,bfloat16,False,MLP,mps,Forward Time (ms),5.761750000237953
1024,2,relu2,bfloat16,False,MLP,mps,Backward Time (ms),10.569441699772142
1024,2,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),4.8023625000496395
1024,2,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),8.765795800718479
1024,2,silu,float32,False,MLP,mps,Forward Time (ms),2.675779200217221
1024,2,silu,float32,False,MLP,mps,Backward Time (ms),5.742941600328777
1024,2,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),2.697824999631848
1024,2,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),5.643475000397302
1024,2,silu,float16,False,MLP,mps,Forward Time (ms),3.1144125008722767
1024,2,silu,float16,False,MLP,mps,Backward Time (ms),5.879049998475239
1024,2,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),2.8294374991673976
1024,2,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),5.359033301647287
1024,2,silu,bfloat16,False,MLP,mps,Forward Time (ms),5.351191700901836
1024,2,silu,bfloat16,False,MLP,mps,Backward Time (ms),10.081070798332803
1024,2,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),4.838554200250655
1024,2,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),8.758587500778958
1024,4,relu,float32,False,MLP,mps,Forward Time (ms),5.349695899349172
1024,4,relu,float32,False,MLP,mps,Backward Time (ms),12.049704100354575
1024,4,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),5.755370898987167
1024,4,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),12.160024901095312
1024,4,relu,float16,False,MLP,mps,Forward Time (ms),6.596879199787509
1024,4,relu,float16,False,MLP,mps,Backward Time (ms),12.014370800170582
1024,4,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),5.773404099454638
1024,4,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),11.02214180136798
1024,4,relu,bfloat16,False,MLP,mps,Forward Time (ms),10.719670800608583
1024,4,relu,bfloat16,False,MLP,mps,Backward Time (ms),19.352137499663513
1024,4,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),9.434604200941976
1024,4,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),18.284829099138733
1024,4,relu2,float32,False,MLP,mps,Forward Time (ms),6.796874999417923
1024,4,relu2,float32,False,MLP,mps,Backward Time (ms),13.708791599492542
1024,4,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),5.950779200065881
1024,4,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),12.170370800595265
1024,4,relu2,float16,False,MLP,mps,Forward Time (ms),7.572229199286085
1024,4,relu2,float16,False,MLP,mps,Backward Time (ms),12.361329201667104
1024,4,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),5.759100000432227
1024,4,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),11.170520799350925
1024,4,relu2,bfloat16,False,MLP,mps,Forward Time (ms),11.846495799545664
1024,4,relu2,bfloat16,False,MLP,mps,Backward Time (ms),19.79910420050146
1024,4,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),9.541470800468232
1024,4,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),17.558270899462514
1024,4,silu,float32,False,MLP,mps,Forward Time (ms),5.686449998756871
1024,4,silu,float32,False,MLP,mps,Backward Time (ms),12.102687500009779
1024,4,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),5.8622333002858795
1024,4,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),12.418225000146776
1024,4,silu,float16,False,MLP,mps,Forward Time (ms),7.238491599855479
1024,4,silu,float16,False,MLP,mps,Backward Time (ms),12.649304200022016
1024,4,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),6.005908400402404
1024,4,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),11.481895799806807
1024,4,silu,bfloat16,False,MLP,mps,Forward Time (ms),11.221062499680556
1024,4,silu,bfloat16,False,MLP,mps,Backward Time (ms),18.83887500007404
1024,4,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),9.61849170125788
1024,4,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),17.975799899431877
1024,8,relu,float32,False,MLP,mps,Forward Time (ms),11.240329100110102
1024,8,relu,float32,False,MLP,mps,Backward Time (ms),27.563708399247844
1024,8,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),12.355366701376624
1024,8,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),24.385687499307096
1024,8,relu,float16,False,MLP,mps,Forward Time (ms),12.85732919932343
1024,8,relu,float16,False,MLP,mps,Backward Time (ms),22.748562500055414
1024,8,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),11.555970799236093
1024,8,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),22.799004201078787
1024,8,relu,bfloat16,False,MLP,mps,Forward Time (ms),22.20343749941094
1024,8,relu,bfloat16,False,MLP,mps,Backward Time (ms),38.094345801800955
1024,8,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),19.228950000251643
1024,8,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),47.38227909983834
1024,8,relu2,float32,False,MLP,mps,Forward Time (ms),18.515241699060425
1024,8,relu2,float32,False,MLP,mps,Backward Time (ms),47.82149580132682
1024,8,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),13.364933400589507
1024,8,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),30.124899999646004
1024,8,relu2,float16,False,MLP,mps,Forward Time (ms),16.35316669999156
1024,8,relu2,float16,False,MLP,mps,Backward Time (ms),25.525429099798203
1024,8,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),13.170320799690671
1024,8,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),24.309579200053122
1024,8,relu2,bfloat16,False,MLP,mps,Forward Time (ms),24.69218749902211
1024,8,relu2,bfloat16,False,MLP,mps,Backward Time (ms),43.252058401412796
1024,8,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),21.05137500038836
1024,8,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),34.820820900495164
1024,8,silu,float32,False,MLP,mps,Forward Time (ms),13.299158299923874
1024,8,silu,float32,False,MLP,mps,Backward Time (ms),28.206341699115
1024,8,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),13.386158300272655
1024,8,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),26.218150000204332
1024,8,silu,float16,False,MLP,mps,Forward Time (ms),13.187041699711699
1024,8,silu,float16,False,MLP,mps,Backward Time (ms),23.186070799420122
1024,8,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),12.050845799967647
1024,8,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),24.49367499939399
1024,8,silu,bfloat16,False,MLP,mps,Forward Time (ms),21.903249999741092
1024,8,silu,bfloat16,False,MLP,mps,Backward Time (ms),34.8610250002821
1024,8,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),20.000837500265334
1024,8,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),35.37044580007205
2048,2,relu,float32,False,MLP,mps,Forward Time (ms),12.287545800791122
2048,2,relu,float32,False,MLP,mps,Backward Time (ms),28.531904198462144
