dim,activation,dtype,competitor,measurement,value
4096,silu,bfloat16,PreCompiledMLP,Backward Time (ms),23.978849900595378
4096,silu,float32,MLP,Forward Time (ms),6.110383399936836
4096,silu,float32,MLP,Backward Time (ms),34.460483199654846
4096,silu,float32,PreCompiledMLP,Forward Time (ms),5.820562499866355
4096,silu,float32,PreCompiledMLP,Backward Time (ms),33.95229170055245
4096,relu2,float16,MLP,Forward Time (ms),3.2412000000476837
4096,relu2,float16,MLP,Backward Time (ms),23.027804199955426
4096,relu2,float16,PreCompiledMLP,Forward Time (ms),3.2650582994392607
4096,relu2,float16,PreCompiledMLP,Backward Time (ms),22.95290840047528
4096,relu2,bfloat16,MLP,Forward Time (ms),3.371579200029373
4096,relu2,bfloat16,MLP,Backward Time (ms),23.70638330030488
4096,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),3.383179200318409
4096,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),23.908970799675444
4096,relu2,float32,MLP,Forward Time (ms),6.140058400342241
4096,relu2,float32,MLP,Backward Time (ms),34.65472910029348
4096,relu2,float32,PreCompiledMLP,Forward Time (ms),5.840475000150036
4096,relu2,float32,PreCompiledMLP,Backward Time (ms),34.42785000006552
