dim,activation,dtype,fp8,competitor,measurement,value
2048,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),14.848704199539497
2048,relu2,float32,False,GatedFP8MLP,Forward Time (ms),2.2777542006224394
2048,relu2,float32,False,GatedFP8MLP,Backward Time (ms),11.043699900619686
2048,relu2,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),2.3052375006955117
2048,relu2,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),10.958124999888241
4096,relu,float16,False,GatedFP8MLP,Forward Time (ms),18.016858299961314
4096,relu,float16,False,GatedFP8MLP,Backward Time (ms),57.07085010071751
4096,relu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),17.654054099693894
4096,relu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),56.29927919944748
4096,relu,bfloat16,False,GatedFP8MLP,Forward Time (ms),18.236533302115276
4096,relu,bfloat16,False,GatedFP8MLP,Backward Time (ms),58.08410009776708
4096,relu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),17.99577910278458
4096,relu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),58.22107089625206
4096,relu,float32,False,GatedFP8MLP,Forward Time (ms),8.252916598576121
4096,relu,float32,False,GatedFP8MLP,Backward Time (ms),45.513666700571775
4096,relu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),8.319662499707192
4096,relu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),45.40264160023071
4096,silu,float16,False,GatedFP8MLP,Forward Time (ms),17.98619159962982
4096,silu,float16,False,GatedFP8MLP,Backward Time (ms),57.548958400730044
4096,silu,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),17.72255830001086
4096,silu,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),56.145891701453365
4096,silu,bfloat16,False,GatedFP8MLP,Forward Time (ms),18.14354579837527
4096,silu,bfloat16,False,GatedFP8MLP,Backward Time (ms),57.796275001601316
4096,silu,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),17.850545901455916
4096,silu,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),57.84155830042437
4096,silu,float32,False,GatedFP8MLP,Forward Time (ms),8.353287499630824
4096,silu,float32,False,GatedFP8MLP,Backward Time (ms),45.736441598273814
4096,silu,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),8.681562502169982
4096,silu,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),46.24960410001222
4096,relu2,float16,False,GatedFP8MLP,Forward Time (ms),17.958908301079646
4096,relu2,float16,False,GatedFP8MLP,Backward Time (ms),57.25849169830326
4096,relu2,float16,False,PreCompiledGatedFP8MLP,Forward Time (ms),17.857479100348428
4096,relu2,float16,False,PreCompiledGatedFP8MLP,Backward Time (ms),56.624491699039936
4096,relu2,bfloat16,False,GatedFP8MLP,Forward Time (ms),18.237612501252443
4096,relu2,bfloat16,False,GatedFP8MLP,Backward Time (ms),57.65103749872651
4096,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Forward Time (ms),17.884087498532608
4096,relu2,bfloat16,False,PreCompiledGatedFP8MLP,Backward Time (ms),57.75237920170184
4096,relu2,float32,False,GatedFP8MLP,Forward Time (ms),8.287625000230037
4096,relu2,float32,False,GatedFP8MLP,Backward Time (ms),45.55216669978108
4096,relu2,float32,False,PreCompiledGatedFP8MLP,Forward Time (ms),8.284545899368823
4096,relu2,float32,False,PreCompiledGatedFP8MLP,Backward Time (ms),45.4617748997407
