dim,activation,dtype,fp8,competitor,measurement,value
2048,relu2,bfloat16,False,FP8MLP,Forward Time (ms),3.1660125008784235
2048,relu2,bfloat16,False,FP8MLP,Backward Time (ms),9.980945900315419
2048,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),3.2303749991115183
2048,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),10.094162498717196
2048,relu2,float32,False,FP8MLP,Forward Time (ms),1.5502416994422674
2048,relu2,float32,False,FP8MLP,Backward Time (ms),7.500137499300763
2048,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),1.639866700861603
2048,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),7.441287400433794
4096,relu,float16,False,FP8MLP,Forward Time (ms),12.191920902114362
4096,relu,float16,False,FP8MLP,Backward Time (ms),38.24745409656316
4096,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),11.88029579934664
4096,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),37.97424590156879
4096,relu,bfloat16,False,FP8MLP,Forward Time (ms),11.975499999243766
4096,relu,bfloat16,False,FP8MLP,Backward Time (ms),38.89676250109915
4096,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),11.98198749916628
4096,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),38.84055830130819
4096,relu,float32,False,FP8MLP,Forward Time (ms),5.511466701864265
4096,relu,float32,False,FP8MLP,Backward Time (ms),32.33018749742769
4096,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),5.527154199080542
4096,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),32.25572909868788
4096,silu,float16,False,FP8MLP,Forward Time (ms),12.017637499957345
4096,silu,float16,False,FP8MLP,Backward Time (ms),38.285454199649394
4096,silu,float16,False,PreCompiledFP8MLP,Forward Time (ms),11.81176670070272
4096,silu,float16,False,PreCompiledFP8MLP,Backward Time (ms),37.857820800854824
4096,silu,bfloat16,False,FP8MLP,Forward Time (ms),12.185695898369886
4096,silu,bfloat16,False,FP8MLP,Backward Time (ms),39.1563583019888
4096,silu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),12.087141600204632
4096,silu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),39.03662500088103
4096,silu,float32,False,FP8MLP,Forward Time (ms),5.588987498776987
4096,silu,float32,False,FP8MLP,Backward Time (ms),32.25685840006918
4096,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),5.567591701401398
4096,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),32.24377909791656
4096,relu2,float16,False,FP8MLP,Forward Time (ms),12.049791699973866
4096,relu2,float16,False,FP8MLP,Backward Time (ms),38.21582490054425
4096,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),11.992091700085439
4096,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),38.02996659942437
4096,relu2,bfloat16,False,FP8MLP,Forward Time (ms),11.936816698289476
4096,relu2,bfloat16,False,FP8MLP,Backward Time (ms),38.77802500210237
4096,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),11.978229199303314
4096,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),38.70172500028275
4096,relu2,float32,False,FP8MLP,Forward Time (ms),5.782366698258556
4096,relu2,float32,False,FP8MLP,Backward Time (ms),32.48625000123866
4096,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),5.670724998344667
4096,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),32.31314159929752
