dim,activation,dtype,fp8,competitor,measurement,value
2048,relu,float32,False,FP8MLP,Backward Time (ms),2.8794047355651853
2048,relu,float32,False,FP8MLP,Forward Peak Memory (GB),0.19320064
2048,relu,float32,False,FP8MLP,Backward Peak Memory (GB),0.310641664
2048,relu,float32,False,PreCompiledFP8MLP,Forward Time (ms),1.2216320037841797
2048,relu,float32,False,PreCompiledFP8MLP,Backward Time (ms),2.647654342651367
2048,relu,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.180617728
2048,relu,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.310641664
2048,relu,float16,False,FP8MLP,Forward Time (ms),1.0003199577331543
2048,relu,float16,False,FP8MLP,Backward Time (ms),2.1389569282531737
2048,relu,float16,False,FP8MLP,Forward Peak Memory (GB),0.199492096
2048,relu,float16,False,FP8MLP,Backward Peak Memory (GB),0.323224576
2048,relu,float16,False,PreCompiledFP8MLP,Forward Time (ms),0.9995264053344727
2048,relu,float16,False,PreCompiledFP8MLP,Backward Time (ms),2.1033119201660155
2048,relu,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.199492096
2048,relu,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.323224576
2048,relu,bfloat16,False,FP8MLP,Forward Time (ms),0.9978879928588867
2048,relu,bfloat16,False,FP8MLP,Backward Time (ms),2.1395456314086916
2048,relu,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.199492096
2048,relu,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.323224576
2048,relu,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),1.0065919876098632
2048,relu,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),2.0954113006591797
2048,relu,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.199492096
2048,relu,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.323224576
2048,relu2,float32,False,FP8MLP,Forward Time (ms),1.2644351959228515
2048,relu2,float32,False,FP8MLP,Backward Time (ms),2.988032150268555
2048,relu2,float32,False,FP8MLP,Forward Peak Memory (GB),0.226755072
2048,relu2,float32,False,FP8MLP,Backward Peak Memory (GB),0.32741888
2048,relu2,float32,False,PreCompiledFP8MLP,Forward Time (ms),1.227564811706543
2048,relu2,float32,False,PreCompiledFP8MLP,Backward Time (ms),2.680531120300293
2048,relu2,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.197394944
2048,relu2,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.310641664
2048,relu2,float16,False,FP8MLP,Forward Time (ms),1.0347359657287598
2048,relu2,float16,False,FP8MLP,Backward Time (ms),2.2295744895935057
2048,relu2,float16,False,FP8MLP,Forward Peak Memory (GB),0.216269312
2048,relu2,float16,False,FP8MLP,Backward Peak Memory (GB),0.323224576
2048,relu2,float16,False,PreCompiledFP8MLP,Forward Time (ms),1.021235179901123
2048,relu2,float16,False,PreCompiledFP8MLP,Backward Time (ms),2.098380756378174
2048,relu2,float16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.207880704
2048,relu2,float16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.323224576
2048,relu2,bfloat16,False,FP8MLP,Forward Time (ms),1.0306207656860351
2048,relu2,bfloat16,False,FP8MLP,Backward Time (ms),2.231907081604004
2048,relu2,bfloat16,False,FP8MLP,Forward Peak Memory (GB),0.216269312
2048,relu2,bfloat16,False,FP8MLP,Backward Peak Memory (GB),0.323224576
2048,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Time (ms),1.02225923538208
2048,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Time (ms),2.096947193145752
2048,relu2,bfloat16,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.207880704
2048,relu2,bfloat16,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.323224576
2048,silu,float32,False,FP8MLP,Forward Time (ms),1.208083152770996
2048,silu,float32,False,FP8MLP,Backward Time (ms),2.716316795349121
2048,silu,float32,False,FP8MLP,Forward Peak Memory (GB),0.197394944
2048,silu,float32,False,FP8MLP,Backward Peak Memory (GB),0.310641664
2048,silu,float32,False,PreCompiledFP8MLP,Forward Time (ms),1.2282879829406739
2048,silu,float32,False,PreCompiledFP8MLP,Backward Time (ms),2.688716793060303
2048,silu,float32,False,PreCompiledFP8MLP,Forward Peak Memory (GB),0.197394944
2048,silu,float32,False,PreCompiledFP8MLP,Backward Peak Memory (GB),0.310641664
