dim,activation,dtype,competitor,measurement,value
1024,relu2,float32,PreCompiledMLP,Backward Time (ms),0.986687994003296
1024,relu2,float32,PreCompiledMLP,Forward Peak Memory (GB),0.073662976
1024,relu2,float32,PreCompiledMLP,Backward Peak Memory (GB),0.09673216
1024,relu2,float16,MLP,Forward Time (ms),0.22476799488067628
1024,relu2,float16,MLP,Backward Time (ms),1.1084800481796264
1024,relu2,float16,MLP,Forward Peak Memory (GB),0.052691456
1024,relu2,float16,MLP,Backward Peak Memory (GB),0.069469184
1024,relu2,float16,PreCompiledMLP,Forward Time (ms),0.550822401046753
1024,relu2,float16,PreCompiledMLP,Backward Time (ms),0.7720832347869874
1024,relu2,float16,PreCompiledMLP,Forward Peak Memory (GB),0.045351424
1024,relu2,float16,PreCompiledMLP,Backward Peak Memory (GB),0.056886272
1024,relu2,bfloat16,MLP,Forward Time (ms),0.2233344078063965
1024,relu2,bfloat16,MLP,Backward Time (ms),1.1118720054626463
1024,relu2,bfloat16,MLP,Forward Peak Memory (GB),0.052691456
1024,relu2,bfloat16,MLP,Backward Peak Memory (GB),0.069469184
1024,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.41390080451965333
1024,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),0.9844735622406007
1024,relu2,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.045351424
1024,relu2,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.056886272
1024,silu,float32,MLP,Forward Time (ms),0.36925439834594725
1024,silu,float32,MLP,Backward Time (ms),0.7716863632202149
1024,silu,float32,MLP,Forward Peak Memory (GB),0.073662976
1024,silu,float32,MLP,Backward Peak Memory (GB),0.098829312
1024,silu,float32,PreCompiledMLP,Forward Time (ms),0.46404480934143066
1024,silu,float32,PreCompiledMLP,Backward Time (ms),1.244601583480835
1024,silu,float32,PreCompiledMLP,Forward Peak Memory (GB),0.073662976
1024,silu,float32,PreCompiledMLP,Backward Peak Memory (GB),0.09673216
1024,silu,float16,MLP,Forward Time (ms),0.19189759492874145
1024,silu,float16,MLP,Backward Time (ms),0.7843840479850769
1024,silu,float16,MLP,Forward Peak Memory (GB),0.045351424
1024,silu,float16,MLP,Backward Peak Memory (GB),0.057934848
1024,silu,float16,PreCompiledMLP,Forward Time (ms),0.521011209487915
1024,silu,float16,PreCompiledMLP,Backward Time (ms),0.9884479999542236
1024,silu,float16,PreCompiledMLP,Forward Peak Memory (GB),0.045351424
1024,silu,float16,PreCompiledMLP,Backward Peak Memory (GB),0.056886272
1024,silu,bfloat16,MLP,Forward Time (ms),0.18995200395584105
1024,silu,bfloat16,MLP,Backward Time (ms),0.7836671710014342
1024,silu,bfloat16,MLP,Forward Peak Memory (GB),0.045351424
1024,silu,bfloat16,MLP,Backward Peak Memory (GB),0.057934848
1024,silu,bfloat16,PreCompiledMLP,Forward Time (ms),0.32573440074920657
1024,silu,bfloat16,PreCompiledMLP,Backward Time (ms),0.9975808382034302
1024,silu,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.045351424
1024,silu,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.056886272
2048,relu,float32,MLP,Forward Time (ms),1.3245216369628907
2048,relu,float32,MLP,Backward Time (ms),2.885961532592773
2048,relu,float32,MLP,Forward Peak Memory (GB),0.19320064
2048,relu,float32,MLP,Backward Peak Memory (GB),0.310641664
2048,relu,float32,PreCompiledMLP,Forward Time (ms),1.2111871719360352
2048,relu,float32,PreCompiledMLP,Backward Time (ms),2.6890241622924806
2048,relu,float32,PreCompiledMLP,Forward Peak Memory (GB),0.180617728
2048,relu,float32,PreCompiledMLP,Backward Peak Memory (GB),0.310641664
2048,relu,float16,MLP,Forward Time (ms),0.5824512004852295
2048,relu,float16,MLP,Backward Time (ms),1.290956735610962
2048,relu,float16,MLP,Forward Peak Memory (GB),0.105120256
2048,relu,float16,MLP,Backward Peak Memory (GB),0.163841024
2048,relu,float16,PreCompiledMLP,Forward Time (ms),0.6667263984680176
2048,relu,float16,PreCompiledMLP,Backward Time (ms),1.3660000801086427
2048,relu,float16,PreCompiledMLP,Forward Peak Memory (GB),0.0988288
2048,relu,float16,PreCompiledMLP,Backward Peak Memory (GB),0.163841024
2048,relu,bfloat16,MLP,Forward Time (ms),0.6114048004150391
2048,relu,bfloat16,MLP,Backward Time (ms),1.3367551803588866
2048,relu,bfloat16,MLP,Forward Peak Memory (GB),0.105120256
2048,relu,bfloat16,MLP,Backward Peak Memory (GB),0.163841024
2048,relu,bfloat16,PreCompiledMLP,Forward Time (ms),0.6334464073181152
2048,relu,bfloat16,PreCompiledMLP,Backward Time (ms),1.3294400215148927
2048,relu,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.0988288
2048,relu,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.163841024
2048,relu2,float32,MLP,Forward Time (ms),1.2789759635925293
2048,relu2,float32,MLP,Backward Time (ms),3.0101506233215334
2048,relu2,float32,MLP,Forward Peak Memory (GB),0.226755072
2048,relu2,float32,MLP,Backward Peak Memory (GB),0.32741888
2048,relu2,float32,PreCompiledMLP,Forward Time (ms),1.215078353881836
2048,relu2,float32,PreCompiledMLP,Backward Time (ms),2.6840065002441404
2048,relu2,float32,PreCompiledMLP,Forward Peak Memory (GB),0.197394944
2048,relu2,float32,PreCompiledMLP,Backward Peak Memory (GB),0.310641664
2048,relu2,float16,MLP,Forward Time (ms),0.6052000045776367
2048,relu2,float16,MLP,Backward Time (ms),1.3799264907836915
2048,relu2,float16,MLP,Forward Peak Memory (GB),0.121897472
2048,relu2,float16,MLP,Backward Peak Memory (GB),0.172229632
2048,relu2,float16,PreCompiledMLP,Forward Time (ms),0.6580063819885253
2048,relu2,float16,PreCompiledMLP,Backward Time (ms),1.357702350616455
2048,relu2,float16,PreCompiledMLP,Forward Peak Memory (GB),0.107217408
2048,relu2,float16,PreCompiledMLP,Backward Peak Memory (GB),0.163841024
2048,relu2,bfloat16,MLP,Forward Time (ms),0.630457592010498
2048,relu2,bfloat16,MLP,Backward Time (ms),1.419692897796631
2048,relu2,bfloat16,MLP,Forward Peak Memory (GB),0.121897472
2048,relu2,bfloat16,MLP,Backward Peak Memory (GB),0.172229632
2048,relu2,bfloat16,PreCompiledMLP,Forward Time (ms),0.6304768085479736
2048,relu2,bfloat16,PreCompiledMLP,Backward Time (ms),1.319935941696167
2048,relu2,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.107217408
2048,relu2,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.163841024
2048,silu,float32,MLP,Forward Time (ms),1.325260829925537
2048,silu,float32,MLP,Backward Time (ms),2.887270450592041
2048,silu,float32,MLP,Forward Peak Memory (GB),0.197394944
2048,silu,float32,MLP,Backward Peak Memory (GB),0.310641664
2048,silu,float32,PreCompiledMLP,Forward Time (ms),1.3417471885681151
2048,silu,float32,PreCompiledMLP,Backward Time (ms),2.860236835479736
2048,silu,float32,PreCompiledMLP,Forward Peak Memory (GB),0.197394944
2048,silu,float32,PreCompiledMLP,Backward Peak Memory (GB),0.310641664
2048,silu,float16,MLP,Forward Time (ms),0.6446080207824707
2048,silu,float16,MLP,Backward Time (ms),1.389158344268799
2048,silu,float16,MLP,Forward Peak Memory (GB),0.107217408
2048,silu,float16,MLP,Backward Peak Memory (GB),0.163841024
2048,silu,float16,PreCompiledMLP,Forward Time (ms),0.6611936092376709
2048,silu,float16,PreCompiledMLP,Backward Time (ms),1.3553823947906496
2048,silu,float16,PreCompiledMLP,Forward Peak Memory (GB),0.107217408
2048,silu,float16,PreCompiledMLP,Backward Peak Memory (GB),0.163841024
2048,silu,bfloat16,MLP,Forward Time (ms),0.6252287864685059
2048,silu,bfloat16,MLP,Backward Time (ms),1.3528319358825684
2048,silu,bfloat16,MLP,Forward Peak Memory (GB),0.107217408
2048,silu,bfloat16,MLP,Backward Peak Memory (GB),0.163841024
2048,silu,bfloat16,PreCompiledMLP,Forward Time (ms),0.6446080207824707
2048,silu,bfloat16,PreCompiledMLP,Backward Time (ms),1.3378783226013184
2048,silu,bfloat16,PreCompiledMLP,Forward Peak Memory (GB),0.107217408
2048,silu,bfloat16,PreCompiledMLP,Backward Peak Memory (GB),0.163841024
