dim,hidden_mult,activation,dtype,fp8,class,device,measurement,value
512,2,silu,bfloat16,False,MLP,mps,Forward Time (ms),1.6893249994609505
512,2,silu,bfloat16,False,MLP,mps,Backward Time (ms),2.6292124995961785
512,2,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),1.531245798105374
512,2,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),2.4462042027153075
512,4,relu,float32,False,MLP,mps,Forward Time (ms),1.5718583017587662
512,4,relu,float32,False,MLP,mps,Backward Time (ms),3.5676958970725536
512,4,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.6262417018879205
512,4,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),3.168020799057558
512,4,relu,float16,False,MLP,mps,Forward Time (ms),1.8690374970901757
512,4,relu,float16,False,MLP,mps,Backward Time (ms),3.294070903211832
512,4,relu,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.7213749990332872
512,4,relu,float16,False,PreCompiledMLP,mps,Backward Time (ms),3.4610375005286187
512,4,relu,bfloat16,False,MLP,mps,Forward Time (ms),2.906824997626245
512,4,relu,bfloat16,False,MLP,mps,Backward Time (ms),5.442416702862829
512,4,relu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),2.694758301367983
512,4,relu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),5.00480419723317
512,4,relu2,float32,False,MLP,mps,Forward Time (ms),1.9569583993870765
512,4,relu2,float32,False,MLP,mps,Backward Time (ms),3.714674897491932
512,4,relu2,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.633570803096518
512,4,relu2,float32,False,PreCompiledMLP,mps,Backward Time (ms),3.1859375012572855
512,4,relu2,float16,False,MLP,mps,Forward Time (ms),2.245487499749288
512,4,relu2,float16,False,MLP,mps,Backward Time (ms),3.5625499964226037
512,4,relu2,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.7434584035072476
512,4,relu2,float16,False,PreCompiledMLP,mps,Backward Time (ms),3.0656581977382302
512,4,relu2,bfloat16,False,MLP,mps,Forward Time (ms),3.4836208971682936
512,4,relu2,bfloat16,False,MLP,mps,Backward Time (ms),6.265087402425706
512,4,relu2,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),2.8236999991349876
512,4,relu2,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),5.214233405422419
512,4,silu,float32,False,MLP,mps,Forward Time (ms),1.7753584019374102
512,4,silu,float32,False,MLP,mps,Backward Time (ms),3.280895797070116
512,4,silu,float32,False,PreCompiledMLP,mps,Forward Time (ms),1.5647999942302704
512,4,silu,float32,False,PreCompiledMLP,mps,Backward Time (ms),3.042812505736947
512,4,silu,float16,False,MLP,mps,Forward Time (ms),1.9057500001508743
512,4,silu,float16,False,MLP,mps,Backward Time (ms),3.135858301538974
512,4,silu,float16,False,PreCompiledMLP,mps,Forward Time (ms),1.814562501385808
512,4,silu,float16,False,PreCompiledMLP,mps,Backward Time (ms),2.900804200908169
512,4,silu,bfloat16,False,MLP,mps,Forward Time (ms),2.8973624983336776
512,4,silu,bfloat16,False,MLP,mps,Backward Time (ms),7.2737416019663215
512,4,silu,bfloat16,False,PreCompiledMLP,mps,Forward Time (ms),3.0649833963252604
512,4,silu,bfloat16,False,PreCompiledMLP,mps,Backward Time (ms),5.3492166043724865
512,8,relu,float32,False,MLP,mps,Forward Time (ms),3.5360999987460673
512,8,relu,float32,False,MLP,mps,Backward Time (ms),7.039062504190952
512,8,relu,float32,False,PreCompiledMLP,mps,Forward Time (ms),3.6884750006720424
512,8,relu,float32,False,PreCompiledMLP,mps,Backward Time (ms),6.338362500537187
512,8,relu,float16,False,MLP,mps,Forward Time (ms),3.8035667035728693
512,8,relu,float16,False,MLP,mps,Backward Time (ms),6.747333297971636
